PV-Aw	
4.734802	5.273132
4.473328	5.367615
4.58429	5.329163
4.421692	5.413757
4.58429	5.410461
4.572205	5.342346
4.597473	5.378601
4.64032	5.477478
4.435974	5.563171
4.576599	5.470886
4.461243	5.157776
4.587585	5.617004
4.571106	5.429138
4.59198	5.489563
4.521667	5.33136
4.522766	5.477478
4.47113	5.302795
4.523865	5.352234
4.40741	5.315979
4.465637	5.236877
4.400818	5.219299
4.457947	5.292908
4.633728	5.264343
4.479919	5.514832
4.706238	5.31488
4.428284	5.304993
4.456848	5.444519
4.679871	5.277527
4.518372	5.432434
4.663391	5.335754
4.319519	5.308289
4.488708	5.2995
4.767761	5.232483
4.554626	5.395081
4.649109	5.276428
4.488708	5.280823
4.663391	5.340149
4.468933	5.386292
4.351379	5.373108
4.35907	5.278625
4.663391	5.318176
4.538147	5.289612
4.597473	5.294006
4.44696	5.167664
4.386536	5.17865
4.384338	5.402771
4.654602	5.33905
4.548035	5.374207
4.572205	5.188538
4.590881	5.40387
4.424988	5.164368
4.474426	5.270935
4.255798	5.288513
4.624939	5.453308
4.226135	5.241272
4.264587	5.471985
4.387634	5.280823
4.485413	5.345642
4.419495	5.36322
4.497498	5.462097
4.619446	5.323669
4.45575	5.481873
4.456848	5.301697
4.482117	5.25885
4.475525	5.396179
4.587585	5.388489
4.500793	5.269836
4.48761	5.311584
4.51947	5.401672
4.421692	5.434631
4.48761	5.256653
4.451355	5.267639
4.608459	5.256653
4.477722	5.351135
4.597473	5.541199
4.522766	5.228088
4.54364	5.370911
4.557922	5.350037
4.686462	5.302795
4.550232	5.410461
4.192078	5.335754
4.562317	5.395081
4.448059	5.384094
4.596375	5.206116
4.564514	5.408264
4.570007	5.20282
4.430481	5.450012
4.382141	5.285217
4.300842	5.375305
4.607361	5.277527
4.68866	5.310486
4.545837	5.231384
4.613953	5.44342
4.47113	5.524719
4.528259	5.471985
4.420593	5.140198
4.549133	5.248962
4.673279	5.323669
4.64801	5.317078
4.523865	5.220398
4.624939	5.230286
4.456848	5.164368
4.527161	5.499451
4.727112	5.272034
4.633728	5.366516
4.622742	5.548889
4.496399	5.433533
4.59967	5.420349
4.515076	5.41925
4.56781	5.294006
4.274475	5.417053
4.384338	5.306091
4.61615	5.286316
4.597473	5.401672
4.627136	5.29071
4.610657	5.389587
4.440369	5.480774
4.602966	5.297302
4.578796	5.207214
4.619446	5.365417
4.566711	5.280823
4.365662	5.214905
4.416199	5.222595
4.371155	5.247864
4.516174	5.367615
4.654602	5.313782
4.398621	5.191833
4.549133	5.353333
4.512878	5.157776
4.401917	5.306091
4.457947	5.263245
4.442566	5.240173
4.338196	5.330261
4.589783	5.183044
4.470032	5.167664
4.722717	5.274231
4.533752	5.464294
4.38324	5.50824
4.433777	5.514832
4.465637	5.529114
4.621643	5.183044
4.588684	5.385193
4.72052	5.328064
4.571106	5.422546
4.574402	5.421448
4.590881	5.409363
4.377747	5.33905
4.374451	5.499451
4.461243	5.317078
4.713928	5.285217
4.529358	5.354431
4.595276	5.277527
4.529358	5.291809
4.473328	5.257751
4.533752	5.247864
4.502991	5.377502
4.376648	5.500549
4.502991	5.180847
4.537048	5.439026
4.695251	5.303894
4.667786	5.368713
4.520569	5.390686
4.373352	5.311584
4.479919	5.404968
4.396423	5.261047
4.434875	5.5401
4.61615	5.345642
4.4953	5.348938
4.605164	5.393982
4.48761	5.303894
4.506287	5.259949
4.523865	5.477478
4.601868	5.340149
4.607361	5.242371
4.576599	5.263245
4.459045	5.197327
4.51178	5.346741
4.403015	5.096252
4.613953	5.337952
4.445862	5.41156
4.486511	5.366516
4.557922	5.346741
4.682068	5.194031
4.44696	5.426941
4.613953	5.384094
4.505188	5.493958
4.424988	5.190735
4.608459	5.398376
4.462341	5.536804
4.568909	5.266541
4.372253	5.426941
4.314026	5.439026
4.466736	5.256653
4.578796	5.30719
4.605164	5.477478
4.493103	5.430237
4.58429	5.409363
4.470032	5.289612
4.521667	5.195129
4.597473	5.278625
4.573303	5.503845
4.353577	5.25116
4.585388	5.413757
4.571106	5.426941
4.643616	5.353333
4.639221	5.362122
4.497498	5.517029
4.4953	5.413757
4.595276	5.241272
4.537048	5.389587
4.608459	5.390686
4.554626	5.203918
4.441467	5.330261
4.650208	5.348938
4.607361	5.392883
4.553528	5.230286
4.397522	5.135803
4.478821	5.222595
4.54364	5.370911
4.665588	5.343445
4.486511	5.315979
4.54364	5.455505
4.612854	5.21051
4.510681	5.277527
4.697449	5.30719
4.559021	5.222595
4.43927	5.325867
4.530457	5.537903
4.483215	5.247864
4.632629	5.366516
4.548035	5.626892
4.585388	5.414856
4.598572	5.335754
4.442566	5.300598
4.4151	5.440125
4.617249	5.393982
4.346985	5.487366
4.66449	5.335754
4.56781	5.414856
4.556824	5.184143
4.387634	5.611511
4.639221	5.270935
4.490906	5.455505
4.609558	5.233582
4.459045	5.222595
4.617249	5.376404
4.440369	5.558777
4.604065	5.272034
4.434875	5.319275
4.613953	5.381897
4.392029	5.12262
4.61615	5.325867
4.551331	5.169861
4.539246	5.382996
4.655701	5.341248
4.572205	5.329163
4.67218	5.252258
4.605164	5.393982
4.67218	5.212708
4.354675	5.255554
4.456848	5.382996
4.548035	5.348938
4.521667	5.296204
4.605164	5.393982
4.497498	5.502747
4.462341	5.342346
4.624939	5.21051
4.601868	5.501648
4.34259	5.395081
4.573303	5.382996
4.568909	5.42804
4.427185	5.57196
4.497498	5.509338
4.573303	5.441223
4.553528	5.165466
4.604065	5.410461
4.612854	5.3797
4.549133	5.208313
4.4151	5.469788
4.517273	5.214905
4.626038	5.389587
4.639221	5.337952
4.62384	5.381897
4.470032	5.518127
4.419495	5.447815
4.56781	5.181946
4.607361	5.325867
4.478821	5.257751
4.515076	5.48407
4.582092	5.335754
4.530457	5.235779
4.635925	5.362122
4.337097	5.368713
4.444763	5.366516
4.410706	5.301697
4.556824	5.378601
4.606262	5.125916
4.537048	5.486267
4.478821	5.40387
4.563416	5.386292
4.521667	5.409363
4.571106	5.424744
4.609558	5.326965
4.530457	5.524719
4.545837	5.454407
4.420593	5.635681
4.408508	5.295105
4.642517	5.38739
4.574402	5.353333
4.192078	5.649963
4.417297	5.429138
4.46344	5.147888
4.461243	5.179749
4.551331	5.450012
4.533752	5.401672
4.289856	5.303894
4.308533	5.425842
4.564514	5.422546
4.522766	5.388489
4.608459	5.263245
4.573303	5.300598
4.453552	5.269836
4.572205	5.414856
4.588684	5.408264
4.381042	5.287415
4.568909	5.429138
4.517273	5.4599
4.557922	5.343445
4.464539	5.582947
4.568909	5.400574
4.566711	5.400574
4.526062	5.274231
4.588684	5.423645
4.690857	5.2995
4.606262	5.272034
4.626038	5.450012
4.570007	5.321472
4.363464	5.42804
4.573303	5.368713
4.478821	5.369812
4.510681	5.273132
4.521667	5.401672
4.563416	5.362122
4.580994	5.365417
4.630432	5.342346
4.64032	5.431335
4.684265	5.304993
4.684265	5.2995
4.56781	5.213806
4.448059	5.551086
4.416199	5.326965
4.442566	5.168762
4.392029	5.27533
4.533752	5.192932
4.626038	5.241272
4.497498	5.306091
4.524963	5.406067
4.634827	5.36322
4.348083	5.274231
4.524963	5.468689
4.428284	5.279724
4.399719	5.278625
4.504089	5.393982
4.563416	5.479675
4.526062	5.486267
4.474426	5.324768
4.555725	5.452209
4.677673	5.280823
4.31073	5.302795
4.468933	5.382996
4.551331	5.447815
4.593079	5.381897
4.649109	5.236877
4.597473	5.333557
4.582092	5.408264
4.724915	5.229187
4.497498	5.468689
4.399719	5.567566
4.517273	5.357727
4.595276	5.261047
4.585388	5.304993
4.606262	5.270935
4.651306	5.348938
4.444763	5.568665
4.619446	5.181946
4.628235	5.342346
4.546936	5.250061
4.631531	5.358826
4.516174	5.167664
4.433777	5.253357
4.523865	5.255554
4.528259	5.188538
4.475525	5.38739
4.516174	5.311584
4.510681	5.273132
4.466736	5.203918
4.627136	5.372009
4.483215	5.163269
4.517273	5.481873
4.448059	5.265442
4.61615	5.3797
4.556824	5.441223
4.4953	5.417053
4.773254	5.188538
4.483215	5.317078
4.674377	5.325867
4.668884	5.320374
4.643616	5.343445
4.56781	5.389587
4.580994	5.420349
4.444763	5.254456
4.618347	5.375305
4.518372	5.214905
4.517273	5.385193
4.564514	5.430237
4.493103	5.208313
4.594177	5.311584
4.504089	5.501648
4.54364	5.304993
4.490906	5.273132
4.598572	5.418152
4.548035	5.388489
4.449158	5.192932
4.394226	5.23468
4.61615	5.187439
4.435974	5.492859
4.363464	5.5401
4.509583	5.268738
4.513977	5.35553
4.4151	5.456604
4.526062	5.354431
4.476624	5.519226
4.657898	5.344543
4.381042	5.268738
4.515076	5.423645
4.608459	5.33905
4.499695	5.27533
4.624939	5.373108
4.376648	5.456604
4.782043	5.211609
4.600769	5.326965
4.5755	5.408264
4.740295	5.463196
4.465637	5.218201
4.622742	5.3797
4.529358	5.368713
4.522766	5.372009
4.478821	5.518127
4.500793	5.231384
4.530457	5.448914
4.466736	5.434631
4.515076	5.2995
4.462341	5.246765
4.615051	5.325867
4.663391	5.342346
4.422791	5.48407
4.632629	5.295105
4.448059	5.402771
4.423889	5.250061
4.697449	5.188538
4.573303	5.425842
4.454651	5.350037
4.553528	5.296204
4.521667	5.361023
4.552429	5.376404
4.51947	5.448914
4.528259	5.291809
4.47113	5.309387
4.597473	5.259949
4.609558	5.270935
4.4953	5.446716
4.493103	5.298401
4.555725	5.265442
4.642517	5.27533
4.527161	5.469788
4.573303	5.386292
4.418396	5.365417
4.516174	5.42804
4.601868	5.237976
4.522766	5.46759
4.563416	5.244568
4.441467	5.367615
4.524963	5.196228
4.538147	5.300598
4.516174	5.247864
4.47113	5.382996
4.371155	5.476379
4.454651	5.43573
4.545837	5.335754
4.524963	5.474182
4.566711	5.33136
4.457947	5.451111
4.486511	5.266541
4.375549	5.153381
4.329407	5.197327
4.548035	5.291809
4.544739	5.453308
4.472229	5.442322
4.549133	5.442322
4.437073	5.285217
4.586487	5.224792
4.585388	5.413757
4.538147	5.497253
4.488708	5.493958
4.357971	5.448914
4.396423	5.359924
4.443665	5.229187
4.532654	5.350037
4.502991	5.46759
4.523865	5.473083
4.598572	5.211609
4.626038	5.308289
4.35907	5.396179
4.497498	5.31488
4.620544	5.377502
4.590881	5.308289
4.582092	5.412659
4.580994	5.41156
4.67218	5.326965
4.604065	5.150085
4.565613	5.33136
4.418396	5.51593
4.386536	5.142395
4.392029	5.447815
4.550232	5.181946
4.534851	5.313782
4.632629	5.547791
4.451355	5.17865
4.454651	5.522522
4.597473	5.350037
4.570007	5.230286
4.631531	5.336853
4.432678	5.287415
4.522766	5.3797
4.351379	5.446716
4.250305	5.330261
4.554626	5.44342
4.523865	5.113831
4.464539	5.232483
4.608459	5.224792
4.624939	5.255554
4.610657	5.343445
4.602966	5.361023
4.500793	5.348938
4.512878	5.287415
4.605164	5.318176
4.435974	5.382996
4.595276	5.474182
4.691956	5.179749
4.675476	5.619202
4.512878	5.485168
4.484314	5.511536
4.590881	5.386292
4.43158	5.395081
4.580994	5.412659
4.4151	5.40387
4.432678	5.361023
4.534851	5.36322
4.468933	5.333557
4.546936	5.453308
4.573303	5.352234
4.62384	5.375305
4.486511	5.423645
4.666687	5.332458
4.481018	5.28302
4.530457	5.447815
4.48761	5.324768
4.448059	5.412659
4.617249	5.289612
4.54364	5.264343
4.43158	5.5401
4.4953	5.211609
4.544739	5.29071
4.529358	5.372009
4.557922	5.346741
4.242615	5.381897
4.571106	5.545593
4.54364	5.462097
4.56012	5.296204
4.483215	5.369812
4.578796	5.308289
4.54364	5.369812
4.524963	5.439026
4.264587	5.398376
4.645813	5.353333
4.528259	5.386292
4.56781	5.359924
4.701843	5.313782
4.529358	5.469788
4.658997	5.434631
4.386536	5.513733
4.583191	5.370911
4.56012	5.498352
4.368958	5.372009
4.520569	5.40387
4.576599	5.296204
4.442566	5.28302
4.540344	5.329163
4.445862	5.225891
4.486511	5.324768
4.421692	5.326965
4.474426	5.35553
4.56781	5.431335
4.582092	5.265442
4.612854	5.385193
4.585388	5.255554
4.516174	5.482971
4.346985	5.440125
4.43158	5.261047
4.555725	5.388489
4.564514	5.347839
4.59967	5.294006
4.492004	5.198425
4.517273	5.418152
4.548035	5.447815
4.523865	5.406067
4.729309	5.269836
4.4151	5.256653
4.589783	5.392883
4.483215	5.369812
4.646912	5.398376
4.338196	5.446716
4.563416	5.393982
4.610657	5.252258
4.552429	5.168762
4.553528	5.123718
4.515076	5.241272
4.523865	5.345642
4.554626	5.208313
4.53595	5.450012
4.615051	5.248962
4.523865	5.279724
4.400818	5.185242
4.709534	5.292908
4.587585	5.496155
4.644714	5.310486
4.454651	5.500549
4.4953	5.495056
4.5755	5.408264
4.644714	5.287415
4.527161	5.365417
4.549133	5.35553
4.540344	5.41156
4.610657	5.319275
4.418396	5.382996
4.557922	5.302795
4.538147	5.306091
4.542542	5.279724
4.594177	5.404968
4.440369	5.321472
4.561218	5.398376
4.54364	5.321472
4.466736	5.496155
4.497498	5.361023
4.544739	5.468689
4.561218	5.626892
4.467834	5.241272
4.561218	5.436829
4.650208	5.18634
4.537048	5.460999
4.676575	5.321472
4.454651	5.356628
4.468933	5.248962
4.695251	5.303894
4.550232	5.448914
4.521667	5.265442
4.354675	5.254456
4.709534	5.29071
4.384338	5.259949
4.602966	5.161072
4.51178	5.216003
4.56781	5.220398
4.604065	5.240173
4.786438	5.212708
4.610657	5.346741
4.512878	5.457703
4.528259	5.450012
4.62384	5.267639
4.523865	5.33136
4.393127	5.211609
4.660095	5.429138
4.493103	5.285217
4.570007	5.173157
4.441467	5.408264
4.427185	5.535706
4.649109	5.385193
4.426086	5.240173
4.38324	5.531311
4.579895	5.401672
4.568909	5.429138
4.516174	5.329163
4.516174	5.304993
4.578796	5.420349
4.661194	5.388489
4.549133	5.342346
4.673279	5.252258
4.691956	5.27533
4.660095	5.366516
4.618347	5.287415
4.564514	5.397278
4.498596	5.442322
4.546936	5.452209
4.373352	5.330261
4.484314	5.417053
4.337097	5.323669
4.385437	5.393982
4.281067	5.385193
4.498596	5.502747
4.422791	5.368713
4.685364	5.17865
4.502991	5.263245
4.67218	5.287415
4.492004	5.499451
4.570007	5.256653
4.450256	5.266541
4.515076	5.28302
4.332703	5.386292
4.615051	5.329163
4.574402	5.263245
4.601868	5.393982
4.198669	5.306091
4.658997	5.333557
4.397522	5.521423
4.585388	5.207214
4.626038	5.30719
4.473328	5.30719
4.474426	5.462097
4.48761	5.232483
4.312927	5.395081
4.61615	5.377502
4.352478	5.199524
4.561218	5.43573
4.411804	5.311584
